;elix;Peak1;constant
01/01/2012 00:00;56.0;0.8169816099835903;1.0
01/01/2012 00:30;56.0;0.8169816099835903;1.0
01/01/2012 01:00;56.0;0.8169816099835903;1.0
01/01/2012 01:30;56.0;0.8169816099835903;1.0
01/01/2012 02:00;43.93;0.8246568025617242;1.0
01/01/2012 02:30;43.93;0.8246568025617242;1.0
01/01/2012 03:00;43.93;0.8246568025617242;1.0
01/01/2012 03:30;43.93;0.8246568025617242;1.0
01/01/2012 04:00;32.03;0.8033368231780188;1.0
01/01/2012 04:30;32.03;0.8033368231780188;1.0
01/01/2012 05:00;32.03;0.8033368231780188;1.0
01/01/2012 05:30;32.03;0.8033368231780188;1.0
01/01/2012 06:00;53.95;1.072821362588055;1.0
01/01/2012 06:30;53.95;1.072821362588055;1.0
01/01/2012 07:00;53.95;1.072821362588055;1.0
01/01/2012 07:30;53.95;1.072821362588055;1.0
01/01/2012 08:00;81.91;1.449758598091966;1.0
01/01/2012 08:30;81.91;1.449758598091966;1.0
01/01/2012 09:00;81.91;1.449758598091966;1.0
01/01/2012 09:30;81.91;1.449758598091966;1.0
01/01/2012 10:00;85.89;1.279198763022323;1.0
01/01/2012 10:30;85.89;1.279198763022323;1.0
01/01/2012 11:00;85.89;1.279198763022323;1.0
01/01/2012 11:30;85.89;1.279198763022323;1.0
01/01/2012 12:00;77.78;1.1939188454875014;1.0
01/01/2012 12:30;77.78;1.1939188454875014;1.0
01/01/2012 13:00;77.78;1.1939188454875014;1.0
01/01/2012 13:30;77.78;1.1939188454875014;1.0
01/01/2012 14:00;75.91;1.2723763696195372;1.0
01/01/2012 14:30;75.91;1.2723763696195372;1.0
01/01/2012 15:00;75.91;1.2723763696195372;1.0
01/01/2012 15:30;75.91;1.2723763696195372;1.0
01/01/2012 16:00;73.65;1.3576562871543587;1.0
01/01/2012 16:30;73.65;1.3576562871543587;1.0
01/01/2012 17:00;73.65;1.3576562871543587;1.0
01/01/2012 17:30;73.65;1.3576562871543587;1.0
01/01/2012 18:00;95.45;1.1939188454875014;1.0
01/01/2012 18:30;95.45;1.1939188454875014;1.0
01/01/2012 19:00;95.45;1.1939188454875014;1.0
01/01/2012 19:30;95.45;1.1939188454875014;1.0
01/01/2012 20:00;87.3;1.7337407234829216;1.0
01/01/2012 20:30;87.3;1.7337407234829216;1.0
01/01/2012 21:00;87.3;1.7337407234829216;1.0
01/01/2012 21:30;87.3;1.7337407234829216;1.0
01/01/2012 22:00;64.01;1.144456493317305;1.0
01/01/2012 22:30;64.01;1.144456493317305;1.0
01/01/2012 23:00;64.01;1.144456493317305;1.0
01/01/2012 23:30;64.01;1.144456493317305;1.0
02/01/2012 00:00;42.8;0.6540969674920811;1.0
02/01/2012 00:30;42.8;0.6540969674920811;1.0
02/01/2012 01:00;42.8;0.6540969674920811;1.0
02/01/2012 01:30;42.8;0.6540969674920811;1.0
02/01/2012 02:00;31.99;0.6114570087246703;1.0
02/01/2012 02:30;31.99;0.6114570087246703;1.0
02/01/2012 03:00;31.99;0.6114570087246703;1.0
02/01/2012 03:30;31.99;0.6114570087246703;1.0
02/01/2012 04:00;30.0;0.3411196701392861;1.0
02/01/2012 04:30;30.0;0.3411196701392861;1.0
02/01/2012 05:00;30.0;0.3411196701392861;1.0
02/01/2012 05:30;30.0;0.3411196701392861;1.0
02/01/2012 06:00;56.17;0.6251017955302418;1.0
02/01/2012 06:30;56.17;0.6251017955302418;1.0
02/01/2012 07:00;56.17;0.6251017955302418;1.0
02/01/2012 07:30;56.17;0.6251017955302418;1.0
02/01/2012 08:00;73.71;1.1086389279526798;1.0
02/01/2012 08:30;73.71;1.1086389279526798;1.0
02/01/2012 09:00;73.71;1.1086389279526798;1.0
02/01/2012 09:30;73.71;1.1086389279526798;1.0
02/01/2012 10:00;76.35;1.3218387217897338;1.0
02/01/2012 10:30;76.35;1.3218387217897338;1.0
02/01/2012 11:00;76.35;1.3218387217897338;1.0
02/01/2012 11:30;76.35;1.3218387217897338;1.0
02/01/2012 12:00;77.41;1.037856596398778;1.0
02/01/2012 12:30;77.41;1.037856596398778;1.0
02/01/2012 13:00;77.41;1.037856596398778;1.0
02/01/2012 13:30;77.41;1.037856596398778;1.0
02/01/2012 14:00;72.46;1.3431587011734392;1.0
02/01/2012 14:30;72.46;1.3431587011734392;1.0
02/01/2012 15:00;72.46;1.3431587011734392;1.0
02/01/2012 15:30;72.46;1.3431587011734392;1.0
02/01/2012 16:00;62.48;0.859621568751001;1.0
02/01/2012 16:30;62.48;0.859621568751001;1.0
02/01/2012 17:00;62.48;0.859621568751001;1.0
02/01/2012 17:30;62.48;0.859621568751001;1.0
02/01/2012 18:00;80.01;1.1939188454875014;1.0
02/01/2012 18:30;80.01;1.1939188454875014;1.0
02/01/2012 19:00;80.01;1.1939188454875014;1.0
02/01/2012 19:30;80.01;1.1939188454875014;1.0
02/01/2012 20:00;73.72;1.0446789898015638;1.0
02/01/2012 20:30;73.72;1.0446789898015638;1.0
02/01/2012 21:00;73.72;1.0446789898015638;1.0
02/01/2012 21:30;73.72;1.0446789898015638;1.0
02/01/2012 22:00;63.67;0.724879299045983;1.0
02/01/2012 22:30;63.67;0.724879299045983;1.0
02/01/2012 23:00;63.67;0.724879299045983;1.0
02/01/2012 23:30;63.67;0.724879299045983;1.0
03/01/2012 00:00;52.24;0.5185018986117149;1.0
03/01/2012 00:30;52.24;0.5185018986117149;1.0
03/01/2012 01:00;52.24;0.5185018986117149;1.0
03/01/2012 01:30;52.24;0.5185018986117149;1.0
03/01/2012 02:00;47.95;0.5116795052089292;1.0
03/01/2012 02:30;47.95;0.5116795052089292;1.0
03/01/2012 03:00;47.95;0.5116795052089292;1.0
03/01/2012 03:30;47.95;0.5116795052089292;1.0
03/01/2012 04:00;40.0;0.3411196701392861;1.0
03/01/2012 04:30;40.0;0.3411196701392861;1.0
03/01/2012 05:00;40.0;0.3411196701392861;1.0
03/01/2012 05:30;40.0;0.3411196701392861;1.0
03/01/2012 06:00;42.99;0.6609193608948669;1.0
03/01/2012 06:30;42.99;0.6609193608948669;1.0
03/01/2012 07:00;42.99;0.6609193608948669;1.0
03/01/2012 07:30;42.99;0.6609193608948669;1.0
03/01/2012 08:00;58.04;1.1939188454875014;1.0
03/01/2012 08:30;58.04;1.1939188454875014;1.0
03/01/2012 09:00;58.04;1.1939188454875014;1.0
03/01/2012 09:30;58.04;1.1939188454875014;1.0
03/01/2012 10:00;68.3;0.895439134115626;1.0
03/01/2012 10:30;68.3;0.895439134115626;1.0
03/01/2012 11:00;68.3;0.895439134115626;1.0
03/01/2012 11:30;68.3;0.895439134115626;1.0
03/01/2012 12:00;65.01;0.724879299045983;1.0
03/01/2012 12:30;65.01;0.724879299045983;1.0
03/01/2012 13:00;65.01;0.724879299045983;1.0
03/01/2012 13:30;65.01;0.724879299045983;1.0
